episode,reward,episode_length,running_reward,switch_rate,max_cart_velocity,max_pole_angle,max_angular_velocity,mean_pole_angle,mean_angular_velocity
1,15.0,15,15.0,0.5,0.75285304,0.20309813,1.2375109,0.09763387,0.6267622
2,21.0,21,15.06,0.7,0.4003902,0.20338649,1.2448993,0.10803014,0.4830583
3,28.0,28,15.1894,0.4074074074074074,1.3169016,0.20892389,1.6748915,0.08189825,0.7564401
4,60.0,60,15.637505999999998,0.3728813559322034,2.8615096,0.19461843,2.8300529,0.095518865,0.6240089
5,14.0,14,15.621130939999999,0.46153846153846156,0.9545147,0.20126665,1.6795775,0.07456524,0.9483113
6,28.0,28,15.744919630599998,0.6666666666666666,0.7533405,0.19819397,1.1091967,0.075637154,0.46737307
7,13.0,13,15.717470434293999,0.4166666666666667,1.0247006,0.19460128,1.5278137,0.07271351,0.8044496
8,37.0,37,15.930295729951057,0.5,1.0137538,0.19317266,1.7475177,0.040067438,0.43245456
9,12.0,12,15.890992772651545,0.45454545454545453,1.0278594,0.178304,1.6963049,0.075924255,0.773077
10,34.0,34,16.07208284492503,0.45454545454545453,0.9508835,0.19208647,1.8935131,0.054595772,0.5957607
11,23.0,23,16.14136201647578,0.5454545454545454,0.83834153,0.18225251,1.6380469,0.068057515,0.4782074
12,9.0,9,16.069948396311023,0.375,1.1567245,0.18763696,1.9244272,0.08370418,1.0987277
13,31.0,31,16.21924891234791,0.4,0.65535975,0.19859113,1.4203272,0.081409976,0.41744214
14,13.0,13,16.18705642322443,0.5833333333333334,1.1562408,0.20569131,1.9323092,0.0790845,1.1139592
15,17.0,17,16.195185858992186,0.4375,1.1411176,0.2005351,1.8542104,0.06429064,0.9092126
16,17.0,17,16.203234000402265,0.6875,0.60213864,0.1909664,1.0238153,0.093021855,0.5674155
17,15.0,15,16.191201660398242,0.5714285714285714,0.9763467,0.20772004,1.7272736,0.083925575,0.71454173
18,19.0,19,16.219289643794262,0.5555555555555556,0.7569233,0.1841875,1.5721062,0.0801962,0.49620312
19,41.0,41,16.46709674735632,0.5,0.6215084,0.19761822,1.5367721,0.059257858,0.3998308
20,15.0,15,16.452425779882756,0.35714285714285715,0.76886237,0.19155987,1.5046295,0.082413755,0.71687585
21,28.0,28,16.56790152208393,0.6296296296296297,0.5826138,0.20652369,1.0971016,0.07687645,0.45729765
22,28.0,28,16.68222250686309,0.5185185185185185,0.79503787,0.19520186,1.273128,0.055021696,0.61217344
23,45.0,45,16.96540028179446,0.4318181818181818,0.83699375,0.1755402,1.9153253,0.054150328,0.40369186
24,19.0,19,16.985746278976514,0.2222222222222222,1.0194409,0.2057034,1.5421034,0.10467426,0.6267372
25,17.0,17,16.98588881618675,0.4375,1.155553,0.20083126,2.005377,0.060217157,0.72954994
26,16.0,16,16.976029928024882,0.5333333333333333,0.7527401,0.20292187,1.3508465,0.089159,0.6471772
27,24.0,24,17.046269628744632,0.43478260869565216,0.94385135,0.19823079,1.5671223,0.052635822,0.6404857
28,22.0,22,17.095806932457183,0.5238095238095238,1.0197055,0.18837655,1.7243122,0.048806265,0.6288873
29,23.0,23,17.15484886313261,0.6818181818181818,0.7662572,0.20453727,1.1470579,0.06508922,0.57805884
30,26.0,26,17.243300374501285,0.4,1.3583969,0.18543342,2.040676,0.047222592,0.72823715
31,39.0,39,17.460867370756272,0.6052631578947368,0.634806,0.18797795,1.3631587,0.052694406,0.38470566
32,15.0,15,17.436258697048707,0.35714285714285715,0.8238077,0.20504276,1.5142534,0.090855576,0.7525427
33,34.0,34,17.60189611007822,0.5757575757575758,1.004862,0.20021783,1.2966579,0.057747006,0.48180383
34,23.0,23,17.655877148977435,0.5454545454545454,0.5876853,0.2090953,1.1520649,0.074624784,0.5531995
35,28.0,28,17.759318377487663,0.5185185185185185,1.034622,0.19798866,1.8748628,0.060588866,0.529927
36,25.0,25,17.831725193712785,0.4583333333333333,0.9870956,0.20878865,1.5038091,0.058467098,0.59268093
37,16.0,16,17.813407941775658,0.4666666666666667,0.9465142,0.17577149,1.7420685,0.061901562,0.6496222
38,42.0,42,18.055273862357904,0.2926829268292683,1.3258237,0.19216038,1.3452852,0.11179997,0.52693474
